Alaska_BristolBay|5&100|31&68|43&87
Alaska_Calista|31&68|56&67|52&50
Alaska_WestDoyon|43&87|31&68|56&67
Alaska_Chugach|43&87|74&89|56&67
Alaska_ArticSlope|76&44|52&50|56&67
Alaska_Doyon|56&67|77&44|74&89
Canada_Yukon|74&89|77&44|98&91
Canada_NorthWestTerritoriesWest|77&44|98&91|121&50
Canada_NorthWestTerritoriesCenter|151&91|98&91|121&50
Canada_NunavutWest|121&50|161&55|151&91
Canada_Nunavut|221&57|161&55|151&91
Canada_BritishColumbiaWest|76&130|74&89|98&91
Canada_BritishColumbiaEast|76&130|113&129|98&91
Canada_Alberta|151&91|113&129|98&91
Canada_Saskatchewan|151&91|113&129|132&128|
Canada_ManitobaNorth|132&128|151&91|186&75
Canada_ManitobaSouth|132&128|183&125|186&75
Canada_ManitobaEast|202&101|183&125|186&75
Canada_OntarioWest|202&101|183&125|198&124
Canada_OntarioEast|202&101|234&130|198&124
Canada_QuebecSouthWest|202&101|234&130|233&104
Canada_QuebecNorthWest|202&101|232&73|233&104
Canada_QuebecNorthEast|265&105|232&73|233&104
Canada_NewBrunswick|234&130|249&120|233&104
Canada_NoviaScotiaNorth|265&105|249&120|233&104
Canada_NoviaScotiaSouth|265&105|249&120|261&131
America_PacificNorthwest|76&130|113&129|60&157
America_RockiesWest|100&157|113&129|60&157
America_Rockies|100&157|113&129|128&175
America_WestSouthwest|60&157|100&157|77&192
America_EastSouthwest|128&175|100&157|77&192
America_California|60&157|65&192|77&192
America_WestMidwest|113&129|128&175|147&145
America_NorthWestMidwest|113&129|132&128|147&145
America_NorthMidwest|183&125|132&128|147&145
America_EastNorthMidwest|183&125|180&143|147&145
America_SouthNorthMidwest|128&175|147&145|180&143
America_TexasRegion|128&175|77&192|124&204
America_WestMidatlantic|183&125|180&143|198&124		
America_EastNorthMidatlantic|234&130|180&143|198&124		
America_EastSouthMidatlantic|234&130|180&143|231&144	
America_SouthCoast|128&175|161&198|124&204
America_Florida|167&216|161&198|173&188
America_EastInterior|128&175|161&198|180&143
America_SouthEastInterior|173&188|161&198|180&143
America_NorthEastCoast|198&164|231&144|180&143
America_SouthEastCoast|198&164|173&188|180&143
Mexico_BajaCalifornia|79&225|65&192|77&192
Mexico_NorthernMexico|77&192|124&204|104&223
Mexico_EastNorthernMexico|77&192|100&245|104&223
Mexico_WestNorthernMexico|122&243|124&204|104&223
Mexico_Bajio|100&245|122&243|104&223
Mexico_PacificCoast|100&245|122&243|133&262
Mexico_Yucatan|145&230|122&243|133&262
Mexico_Chiapas|139&248|155&255|133&262
CentralAmerica_CentralAmerica|155&255|161&283|133&262
CentralAmerica_Panama|176&276|161&283|171&290
CemtralAmerica_Cuba|157&225|181&238|185&234
CemtralAmerica_Dominican|190&245|193&236|201&244
SouthAmerica_NorthColumbia|176&276|195&296|171&290
SouthAmerica_SouthColumbia|167&305|195&296|171&290
SouthAmerica_NorthVenezuela|176&276|190&266|208&276
SouthAmerica_SouthVenezuela|176&276|195&296|208&276
SouthAmerica_EastVenezuela|228&284|195&296|208&276
SouthAmerica_Guiana|228&284|195&296|250&299
SouthAmerica_Amazonas|204&325|195&296|250&299
SouthAmerica_Ecuador|167&305|195&296|160&329
SouthAmerica_NorthPeru|204&325|195&296|160&329
SouthAmerica_CentralPeru|204&325|185&378|160&329
SouthAmerica_SouthPeru|204&325|185&378|208&374
SouthAmerica_Bolivia|236&355|235&397|208&374
SouthAmerica_WestBrazil|236&355|204&325|208&374
SouthAmerica_NorthBrazil|250&299|204&325|289&311
SouthAmerica_WestCentralBrazil|236&355|204&325|289&311
SouthAmerica_CentralBrazil|236&355|299&365|289&311
SouthAmerica_EastCentralBrazil|306&342|299&365|289&311
SouthAmerica_SouthCentralBrazil|236&355|299&365|256&376
SouthAmerica_SouthBrazil|280&403|299&365|256&376
SouthAmerica_Paraguay|236&355|235&397|256&376
SouthAmerica_SouthParaguay|235&397|280&403|256&376
SouthAmerica_Uruguay|280&403|235&397|262&420
SouthAmerica_Andean|200&446|235&397|197&408
